Textos_espanol,sdg
"Por ejemplo, el nAomero de consultas externas de especialistas es de 319 por cada mil derechohabientes en el SP, en comparaciA3n con 338 y 620 por cada mil derechohabientes en el IMSS y el ISSSTE, respectivamente. Si bien algunas de estas diferencias pueden reflejar una necesidad desigual (como la poblaciA3n ligeramente mayor del ISSSTE), otras no pueden justificarse de esta manera. El nAomero de recetas que no pudieron ser surtidas en su totalidad por un farmacA(c)utico debido a la falta de existencias es de 33% dentro del SP en comparaciA3n con 14% dentro del IMSS segAon los datos de la encuesta (aunque las propias cifras de los institutos de la SS sugieren tasas mA!s altas de recetas surtidas). Ambas cifras se encuentran entre las mA!s altas de la OCDE. El gasto de bolsillo no se ha reducido significativamente en la ultima decada, a pesar de los esfuerzos para lograr la cobertura sanitaria universal a traves de la reforma del SP.",3
"En 2007, el gobierno central financio directamente solo el 0,3% del gasto total en salud, pero realizo transferencias especificas para el gasto en salud que ascendieron a otro 5,6% del gasto total. La mayor parte del gasto presupuestario en salud lo realizan los gobiernos de los condados. Por lo tanto, los condados pobres solo pueden ofrecer un bajo nivel de atencion a la poblacion local. El gobierno provincial proporciona subsidios del lado de la oferta a los hospitales.",3
"Claramente, hay muchos otros factores en juego, en particular, una variedad de barreras y determinantes sociales. Estos pueden estar relacionados con el genero, la clase, la etnia, la casta, el idioma y la religion, y surgen de estructuras, normas y procesos sociales arraigados que aceptan e incluso fomentan distribuciones injustas de la riqueza y los recursos sociales. Por ejemplo, las personas que viven con el VIH y algunas otras enfermedades cronicas enfrentan altos niveles de estigma y discriminacion que dificultan su acceso a pruebas medicas, tratamiento, atencion y apoyo. Por lo tanto, los gobiernos que buscan mejorar los estandares de salud querran mejorar la condicion de la mujer, brindar servicios de salud reproductiva efectivos, implementar programas integrales de lactancia materna en linea con las recomendaciones actuales y aumentar las presiones comunitarias contra el aborto selectivo por sexo. Las personas pobres, que carecen de educacion e informacion, o de fondos para opciones mas saludables, son mas vulnerables al impacto de las ENT que los ricos y es probable que mueran antes. Directa e indirectamente, las ENT tendran impactos de gran alcance en el progreso hacia los ODM.",3
"Por ejemplo, el estado australiano de Victoria creo una agencia de promocion de la salud financiada con los impuestos sobre el tabaco, y varios estados de EE.UU. (California, Massachusetts, Arizona y Oregon) han destinado parte de los ingresos procedentes de los impuestos especiales sobre el tabaco a actividades de educacion y control del tabaco, mientras que en Nueva Jersey, Ohio y Texas los ingresos procedentes del alcohol se utilizan para programas de educacion y prevencion relacionados con el alcohol (Sassi et al., 2004), Los impuestos locales pueden ser una fuente importante de ingresos, sobre todo en los sistemas sanitarios descentralizados (por ejemplo, Dinamarca, Finlandia, Italia y Suecia)17 . Ademas, el nivel de los impuestos locales puede fijarse en funcion de las preferencias locales sobre el nivel y la calidad de los servicios medicos. Sin embargo, en ausencia de un mecanismo de transferencia ajustado al riesgo y gestionado centralmente, la descentralizacion reduce la mancomunacion de riesgos y podria dar lugar a mayores disparidades sanitarias interregionales.",3
"El consumo anual de alcohol se estima en 15,7 litros al ano para los hombres, mas de un 50% por encima de la media de la OCDE (10,4) (Sistema mundial de informacion sobre alcohol y salud de la OMS), lo que puede ayudar a explicar la alta mortalidad por enfermedad hepatica relacionada con el alcohol. Si bien la prevalencia de la obesidad en adultos es relativamente baja en comparacion con muchos paises de la OCDE, mas del 30 % de las mujeres en Kazajstan son obesas, en comparacion con el 16 % de los hombres (World Obesity, 2016), lo que coloca la tasa entre las mujeres a la par con algunos de los paises mas obesos de la OCDE. De hecho, una gran proporcion de la brecha en la esperanza de vida se explica por una mayor mortalidad entre los jovenes kazajos de 15 a 29 anos, un grupo de edad en el que las tasas generales de mortalidad son mas de tres veces mas altas que en la UE de los 15.",3
"Probar pronto la medicina rural puede crear el deseo de permanecer en estos lugares despues de graduarse. La Universidad de Sydney dice que aproximadamente el 20% de los graduados de su programa rural ocupan puestos de capacitacion de posgrado rural, donde estan disponibles (Mason, 2013). El surgimiento de especialistas, particularmente en cirugia, ha contribuido a los problemas de mano de obra en las zonas rurales de Australia. Un programa generalista rural comenzo hace unos anos en Queensland, lo que permite que los medicos de cabecera se capaciten para que puedan desempenar algunas funciones especializadas, como anestesistas y obstetricia. Desde entonces, el programa se ha ampliado a otros estados.",3
"La duracion media de la estancia en el hospital (ALOS) se utiliza a menudo como un indicador de la eficiencia en la prestacion de servicios hospitalarios porque, siendo constantes todos los demas factores, una estancia mas corta reducira el coste por alta y permitira el tratamiento de un mayor numero de pacientes para un determinado periodo. entradas. Los pacientes ingresados   por afecciones potencialmente mortales, como infarto agudo de miocardio (ataque cardiaco) y enfermedades cerebrovasculares (ictus), tambien tienden a permanecer mucho mas tiempo en el hospital que en otros paises.1 Por ejemplo, los pacientes ingresados   por infarto agudo de miocardio (IAM) pasan una media de 13 dias en el hospital, 6 dias mas que la media del G7 y la OCDE. La diferencia es aun mayor para los pacientes ingresados   por enfermedades cerebrovasculares (derrame cerebral), con estos pacientes en Corea permaneciendo en promedio mas de 60 dias, mientras que en la mayoria de los demas paises del G7, son hospitalizados solo entre 10 y 15 dias.",3
"El periodo retrospectivo es de 20 anos, de 1951 a 2001. Los precios incluyen tecnologia, expectativas, politicas gubernamentales e inflacion de factores de entrada. Envejecimiento de la poblacion y gasto publico en salud en Nueva Zelanda, 1951-2051. Documento de trabajo del Tesoro de Nueva Zelanda 04/14. Tendencias del gasto en salud en Nueva Zelanda. Wellington, Ministerio de Salud.",3
"Ya se estan vinculando algunos datos de los registros, incluidos los relativos a la mortalidad, con un gran potencial de ampliacion. El uso de registros electronicos normalizados y la vinculacion de datos tambien reduciria la carga que supone para el personal de atencion primaria el registro de datos duplicados en multiples registros de calidad. La mejora, normalizacion y racionalizacion de la arquitectura de la informacion para apoyar las mejoras en la calidad y coordinacion de la asistencia sanitaria, incluida la atencion primaria, tambien deberia ser una prioridad. Ademas de abordar algunas de las cuestiones practicas que conlleva, tambien sera necesario un liderazgo y un cambio de cultura en la atencion primaria para vencer la resistencia a la recogida de datos, promoviendo el potencial de los datos de referencia para la mejora de la calidad y el apoyo a los pacientes. ",3
"En este sentido, es una forma eficaz de mejorar la eficacia y la calidad del servicio que ya estan prestando los medicos de Atencion Primaria. Ademas, dado esto, es probable que la introduccion de la TCC basada en la atencion primaria o equivalentes de terapia de conversacion ahorre costos en comparacion con la introduccion de programas independientes, aumentando los reembolsos de las terapias proporcionadas por medicos que no son de atencion primaria (especialmente cuando los medicos alternativos son privados), o invertir en el desarrollo de capacidades para la prestacion de terapias psicologicas. En particular, en paises con sistemas de atencion primaria debiles y donde existen altos niveles de estigma en torno a las enfermedades mentales, es probable que la introduccion de la TCC en la atencion primaria no sea el uso mas eficiente de los recursos.",3
"Dos encuestados seA+-alaron que no existe un organismo dentro del Ministerio de Sanidad responsable de promover la introducciA3n de la asistencia sanitaria personalizada, y dos sugirieron que la investigaciA3n y el desarrollo se ven obstaculizados por la normativa de protecciA3n de datos personales y los procedimientos A(c)ticos. Curiosamente, uno de los encuestados comentA3 que ""la satisfacciA3n de los consumidores con [el] sistema sanitario actual significa que hay poca demanda de cambio por parte de los pacientes o de los profesionales sanitarios"". Los encuestados tambien consideraron importantes las redes y la colaboracion internacionales, en particular a traves de la Union Europea.",3
"Esto proporciona tiempo adicional para que los medicos dediquen a esos pacientes medicamente complejos con multiples condiciones cronicas. Algunos paises de la OCDE han adoptado la expansion de la fuerza laboral para incluir a este personal. Los medicos, enfermeras y otros profesionales de la salud deben ingresar a un entorno que promueva las habilidades que aprenden en la capacitacion clinica. Actualizar el curriculo educativo no sera muy efectivo a menos que: 1) la infraestructura de investigacion cree la base de evidencia para guiar la educacion y la atencion al paciente, 2) los sistemas de pago y entrega les ayuden a administrar los tipos de atencion para los que estan capacitados para brindar, y 3) las metricas de calidad miden lo que estan siendo capacitados para proporcionar.",3
"El numero absoluto de medicos ha seguido creciendo en la mayoria de los paises de la OCDE durante la recesion de 2008-09 y posteriormente, aunque la tasa de crecimiento se ha desacelerado en paises como Grecia. Este resultado puede explicarse, en parte, por la politica de reduccion del numero de personal temporal y personal de reemplazo, aunque cabe senalar que Grecia sigue teniendo el mayor numero de medicos per capita entre los paises de la OCDE. En Irlanda, se han introducido una serie de cambios que afectan a la fuerza laboral medica, incluida la no sustitucion del personal con licencia, la finalizacion de los contratos temporales y los despidos voluntarios, asi como la reduccion del personal de agencia y suplente.",3
"El desarrollo de una politica de recertificacion (que incluiria INFARMED, la autoridad nacional de medicamentos y productos sanitarios, garantiza la seguridad y el uso apropiado de los productos farmaceuticos en Portugal. Suecia no tiene un sistema de acreditacion para las organizaciones sanitarias. Para algunas profesiones, la el diploma debe complementarse con un certificado de finalizacion de una pasantia/experiencia practica especifica No existen sistemas nacionales formales de CME y CPD o para la recertificacion.",3
"Patient Opinion, un portal en linea, permite a la gente publicar de forma anonima sus experiencias sobre los servicios del NHS. Las personas que deseen dar su opinion sobre un servicio pueden dejar un comentario y esperar una respuesta de un miembro del personal del NHS, a menudo de la institucion en cuestion. En un ejemplo reciente, un paciente escribio en el foro en linea sobre una experiencia negativa con un servicio de reumatologia.",3
"Estas estaciones cuentan con asistentes medicos y parteras y reportan a los hospitales locales. Estos ultimos estan equipados con unidades de laboratorio clinico y radiologia y cuentan con uno o mas medicos, un cirujano y un ginecologo. Cuanto mas cerca de los centros administrativos, mas especializado es el nivel de las instalaciones y el personal. El sistema incluye dispensarios medicos especializados para ciertas enfermedades, como tuberculosis, cancer, infecciones de transmision sexual, trastornos psiquiatricos y enfermedades de la piel.",3
"En Ohio, las admisiones a tratamiento por esta droga aumentaron un 34% de 2009 a 2012. En el condado de San Diego, las muertes relacionadas con la metanfetamina aumentaron un 70% de 2008 a 2012. America del Sur cuenta con una capacidad institucional relativamente solida en el contexto mas amplio de America Latina y el Caribe, y los paises de la region han venido realizando esfuerzos considerables a escala nacional e internacional para frenar la oferta ilicita de drogas y hacer frente a las crecientes tasas de drogodependencia.",3
"Los profesionales de la salud y los responsables politicos tambien se benefician de ello, como muestra la figura siguiente. Otra prioridad declarada es el intercambio eficaz de informacion y la cooperacion entre todos los compradores y profesionales. Se pretende que la informacion siga al ciudadano a traves de los sectores sanitario y de asistencia social.",3
